TransactionAmount,TransactionType,Location,DeviceID,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,LoginAttempts_Scaled,Cluster_KMeans
14.089999999999975,Debit,San Diego,D000380,M015,ATM,70.0,Doctor,81.0,1,5112.21,0.0,0
376.24,Debit,Houston,D000051,M052,ATM,68.0,Doctor,141.0,1,13758.91,0.0,1
126.28999999999999,Debit,Mesa,D000235,M009,Online,19.0,Student,56.0,1,1122.35,0.0,1
184.5,Debit,Raleigh,D000187,M002,Online,26.0,Student,25.0,1,8569.06,0.0,1
13.449999999999989,Credit,Atlanta,D000308,M091,Online,26.0,Student,198.0,1,7429.4,0.0,1
92.15,Debit,Oklahoma City,D000579,M054,ATM,18.0,Student,172.0,1,781.6800000000003,0.0,0
7.079999999999984,Credit,Seattle,D000241,M019,ATM,37.0,Doctor,139.0,1,13316.71,0.0,1
171.42,Credit,Indianapolis,D000500,M020,Branch,67.0,Retired,291.0,1,2796.24,0.0,0
106.23000000000002,Credit,Detroit,D000690,M035,Branch,51.0,Engineer,86.0,1,9095.14,0.0,0
815.96,Debit,Nashville,D000199,M007,ATM,55.0,Doctor,120.0,1,1021.8799999999997,0.0,1
17.78000000000003,Credit,Albuquerque,D000205,M073,Online,52.0,Engineer,59.0,1,7599.52,0.0,1
190.02000000000004,Debit,Memphis,D000589,M030,Online,21.0,Student,173.0,1,1528.81,0.0,0
494.52,Credit,Mesa,D000032,M057,Branch,24.0,Student,111.0,1,1620.02,0.0,1
781.76,Debit,Memphis,D000054,M025,ATM,26.0,Student,123.0,1,189.6899999999996,0.0,1
166.99,Debit,Louisville,D000309,M017,Online,18.0,Student,134.0,1,299.9300000000003,0.0,1
465.45,Debit,Denver,D000466,M025,ATM,36.0,Engineer,129.0,1,3465.54,0.0,0
555.8,Credit,Austin,D000671,M048,Branch,19.0,Student,158.0,1,1131.2600000000002,0.0,0
492.93,Debit,Columbus,D000432,M059,Online,39.0,Engineer,234.0,1,5109.97,0.0,0
18.680000000000007,Credit,Albuquerque,D000530,M054,Branch,59.0,Retired,106.0,1,7948.37,0.0,0
71.47999999999999,Credit,Columbus,D000039,M039,Online,18.0,Student,169.0,1,6568.59,0.0,1
59.31999999999999,Debit,Los Angeles,D000152,M040,Branch,71.0,Retired,38.0,1,5750.89,0.0,1
85.76999999999998,Debit,Las Vegas,D000268,M065,Branch,38.0,Doctor,93.0,1,9146.19,0.0,1
52.19999999999999,Debit,Atlanta,D000142,M022,Online,39.0,Engineer,120.0,1,8974.93,0.0,1
345.84,Debit,Fort Worth,D000162,M083,Online,22.0,Student,142.0,3,1402.5,1.0986122886681096,1
145.54,Debit,Raleigh,D000036,M028,Online,21.0,Student,96.0,1,1930.96,0.0,1
7.490000000000009,Credit,Houston,D000671,M043,Online,65.0,Retired,276.0,1,3634.67,0.0,0
246.93,Debit,Miami,D000046,M029,ATM,23.0,Student,158.0,5,673.3500000000004,1.6094379124341003,1
40.31999999999999,Debit,Milwaukee,D000310,M008,Branch,37.0,Engineer,95.0,1,2686.52,0.0,1
127.44999999999999,Debit,Las Vegas,D000232,M092,Online,44.0,Doctor,197.0,1,1772.06,0.0,1
56.170000000000016,Debit,Detroit,D000297,M043,Branch,27.0,Student,283.0,1,1351.69,0.0,1
28.310000000000002,Credit,Miami,D000587,M091,Online,59.0,Doctor,20.0,1,8334.47,0.0,0
59.120000000000005,Debit,Baltimore,D000282,M053,ATM,29.0,Doctor,257.0,1,9823.64,0.0,1
396.45,Debit,New York,D000621,M007,ATM,49.0,Engineer,168.0,3,9690.15,1.0986122886681096,0
877.81,Debit,Los Angeles,D000111,M094,Online,22.0,Student,150.0,1,399.0,0.0,1
255.26,Credit,San Francisco,D000357,M002,Branch,45.0,Doctor,50.0,1,14815.87,0.0,0
124.75999999999999,Debit,Seattle,D000042,M002,Branch,49.0,Engineer,45.0,1,5764.72,0.0,1
78.13,Debit,Milwaukee,D000250,M028,Branch,26.0,Student,145.0,1,900.6099999999997,0.0,1
649.28,Debit,San Jose,D000448,M074,ATM,75.0,Retired,137.0,1,4875.86,0.0,0
795.31,Debit,Mesa,D000077,M048,ATM,66.0,Doctor,90.0,2,7914.88,0.6931471805599453,1
335.63,Debit,Oklahoma City,D000038,M040,Online,55.0,Retired,216.0,1,1019.3899999999999,0.0,1
328.47,Debit,San Antonio,D000557,M014,ATM,63.0,Retired,119.0,1,4323.66,0.0,0
34.01999999999998,Debit,Philadelphia,D000627,M046,Online,38.0,Doctor,19.0,1,14214.48,0.0,0
241.42,Credit,Charlotte,D000198,M044,Online,57.0,Doctor,116.0,1,13357.02,0.0,1
55.31999999999999,Debit,Tucson,D000197,M009,ATM,19.0,Student,117.0,1,241.78999999999996,0.0,1
304.31,Debit,Louisville,D000685,M005,Branch,27.0,Student,33.0,1,868.6099999999997,0.0,0
435.27,Debit,Chicago,D000297,M051,Branch,74.0,Retired,90.0,1,4673.28,0.0,1
164.49,Debit,Baltimore,D000103,M070,Branch,26.0,Student,75.0,1,1509.27,0.0,1
510.24,Debit,Oklahoma City,D000397,M090,Online,19.0,Student,105.0,1,781.6999999999998,0.0,0
626.9,Debit,Denver,D000284,M023,Online,26.0,Student,138.0,1,265.5100000000002,0.0,1
22.00999999999999,Credit,Sacramento,D000304,M055,Online,41.0,Engineer,175.0,1,1335.0900000000001,0.0,1
425.34,Credit,Kansas City,D000661,M040,Online,69.0,Retired,121.0,1,3907.54,0.0,0
424.56,Debit,Omaha,D000598,M015,Online,51.0,Engineer,264.0,1,5183.85,0.0,0
85.43,Debit,Virginia Beach,D000235,M078,Branch,67.0,Doctor,145.0,1,14904.9,0.0,1
169.5,Debit,San Diego,D000442,M036,Branch,28.0,Student,142.0,1,918.8800000000001,0.0,0
104.63,Debit,Omaha,D000642,M095,ATM,62.0,Retired,90.0,1,4477.78,0.0,0
